CID,MolecularWeight,XLogP,RotatableBondCount
18635,104.17,0.3,3
7284,86.13,1.1,2
650,86.09,-1.3,1
5283349,152.23,3.2,6
19309,128.13,0.7,0
6184,100.16,1.8,4
62835,128.13,0.4,0
61346,126.20,2.4,5
176,60.05,-0.2,0
177,44.05,-0.3,0
24020,130.18,1.9,4
5283335,140.22,3.1,6
1183,152.15,1.2,2
522834,111.14,-0.4,1
8314,102.13,1.2,2
264,88.11,0.8,2
6549,154.25,2.7,4
5366074,190.28,3.2,2
7762,116.16,1.3,4
643941,98.14,1.1,3
460,124.14,1.3,1
6561,72.11,0.8,1
526708,168.23,2.0,6
6054,122.16,1.4,2
998,120.15,1.8,2
7342,116.16,1.5,3
5283339,138.21,2.7,5
26334,136.19,1.5,1
19310,126.3,1.3,2
999,136.15,1.4,2
6429343,124.18,1.9,4
28905,150.22,1.9,2
31265,144.21,2.4,6
636687,138.21,2.2,5
7363,114.17,1.3,1
33166,152.19,2.0,2
31260,88.15,1.2,2
5354833,140.22,3.1,6
1068,62.14,0.9,0
332,150.17,2.4,2
878,48.11,0.5,0
11747,100.12,0.1,2
12810,170.25,2.5,4
5283318,112.17,1.4,4
441574,156.22,2.2,4
454,128.21,2.7,6
62465,152.19,1.7,2
529481,170.25,2.3,6
7654,164.20,2.3,4
702,46.07,-0.1,0
6654,136.23,2.8,0
32594,166.22,2.6,3
169110,129.18,0.2,1
7799,172.26,3.5,8
31253,136.23,4.3,4
6427087,152.23,3.2,6
3314,164.20,2.0,3
12813,170.25,2.7,5
527,58.08,0.6,1
22311,136.23,3.4,1
31276,130.18,2.0,4
41285,156.22,2.5,3
16821,198.30,3.8,7
8892,116.16,1.9,4
638014,192.30,2.9,2
34286,114.17,1.5,0
2879,108.14,1.9,0
520098,166.22,1.6,3
31289,142.24,3.3,7
33931,142.15,1.2,1
7765,118.17,0.8,4
11952,135.16,0.8,2
13357,116.16,1.5,3
5281167,100.16,1.3,3
6736,131.17,2.6,0
6590,88.11,0.8,1
8175,156.26,3.8,8
5352428,196.29,3.6,6
637566,154.25,2.9,4
519906,138.21,2.1,5
92083,136.19,2.3,4
2969,172.26,4.1,8
3314,164.20,2.0,3
8103,102.17,2.0,4
8723,88.15,1.2,2
16800,149.23,2.9,4
2758,154.25,2.5,0
62237,118.20,1.2,2
6427076,166.22,1.7,0
25916,136.19,1.5,1
12101,122.16,2.4,1
5281168,98.14,1.5,3
10448,106.19,0.5,3
379,144.21,3.0,6
26808,122.17,1.0,0
12844,198.30,3.6,6
8815,148.20,3.4,3
47649,160.3,1.9,2
43267436,174.24,1.5,8
31242,122.16,2.6,1
7703,148.20,3.3,2
14519,138.16,2.1,1
31244,136.15,1.8,2
12180,102.13,1.3,3
6560,74.12,0.8,1
4276,192.21,2.9,3
13949543,140.18,2.0,2
78126,138.23,2.6,2
529251,125.17,0.0,2
308,134.17,1.9,2
30914,122.12,0.2,1
520194,125.17,1.1,1
18686,156.22,2.6,3
61199,142.15,0.9,1
8908,144.21,2.4,6
164623,132.16,0.9,3
73455828,102.20,2.0,1
526487,148.23,1.4,4
3018619,212.37,5.7,11
521348,134.24,1.5,4
518810,176.28,2.1,6
79828,158.3,1.8,3
62453,120.15,2.4,1
5283316,112.17,2.1,4
5363388,142.20,1.9,5
176983,134.22,3.0,1
61325,142.15,1.0,1
8500,134.17,2.1,1
62385,132.20,3.7,1
7704,142.20,1.6,3
439570,150.22,2.4,1
18827,128.21,2.6,5
442484,136.23,3.4,1
529635,118.20,1.1,2
441644,184.27,3.3,6
5283345,154.25,3.7,7
53683233,154.25,2.9,7
637758,176.21,3.0,4
520125,146.18,1.2,4
10882,130.18,1.9,5
14525,152.23,2.3,0
10976,116.20,2.3,4
7144,138.16,1.3,1
637520,162.18,2.6,3
5319765,154.3,2.2,4
88290,132.23,0.8,2
5320191,140.22,2.1,5
6427080,126.20,2.6,5
15394,84.12,1.0,2
442482,136.23,3.2,1
443160,136.23,3.2,1
14896,136.23,3.1,0
1032,74.08,0.3,1
5352367,150.26,4.8,6
22383,182.4,3.1,6
8857,88.11,0.7,2
61293,160.21,1.0,6
517791,126.20,2.2,3
520420,112.17,1.9,4
179,88.11,-0.3,1
853433,164.20,2.6,2
8369,126.11,0.4,0
